Epsilon,TipoConsulta,ValorConsulta,ValorEstimado,ValorReal,ErrorAbsoluto,ErrorRelativo,ErrorMaxPermitido
0.1,RANK,46,0,0,0,0,3.11665e+06
0.1,RANK,46,0,0,0,0,3.11665e+06
0.1,RANK,48,2227452,1234059,993393,0.0318738,3.11665e+06
0.1,RANK,56,2788877,1676313,1112564,0.0356974,3.11665e+06
0.1,RANK,56,2788877,1676313,1112564,0.0356974,3.11665e+06
0.1,RANK,56,2788877,1676313,1112564,0.0356974,3.11665e+06
0.1,RANK,56,2788877,1676313,1112564,0.0356974,3.11665e+06
0.1,RANK,64,5315836,4242349,1073487,0.0344436,3.11665e+06
0.1,RANK,64,5315836,4242349,1073487,0.0344436,3.11665e+06
0.1,RANK,84,6719746,5591739,1128007,0.0361929,3.11665e+06
0.1,RANK,110,7299737,6227594,1072143,0.0344005,3.11665e+06
0.1,RANK,141,8123430,6854651,1268779,0.0407097,3.11665e+06
0.1,RANK,204,8666422,7365554,1300868,0.0417393,3.11665e+06
0.1,RANK,204,8666422,7365554,1300868,0.0417393,3.11665e+06
0.1,RANK,204,8666422,7365554,1300868,0.0417393,3.11665e+06
0.1,RANK,241,10648272,9348818,1299454,0.0416939,3.11665e+06
0.1,RANK,436,11211878,9972157,1239721,0.0397774,3.11665e+06
0.1,RANK,749,11773573,10596073,1177500,0.037781,3.11665e+06
0.1,RANK,1103,12597375,11219793,1377582,0.0442007,3.11665e+06
0.1,RANK,1348,13158875,11837899,1320976,0.0423845,3.11665e+06
0.1,RANK,1404,13456055,12201421,1254634,0.0402559,3.11665e+06
0.1,RANK,1424,14034165,12821860,1212305,0.0388977,3.11665e+06
0.1,RANK,1432,14861961,13672084,1189877,0.0381781,3.11665e+06
0.1,RANK,1444,15423585,14213899,1209686,0.0388137,3.11665e+06
0.1,RANK,1455,16263653,14941519,1322134,0.0424217,3.11665e+06
0.1,RANK,1458,16544433,15257532,1286901,0.0412912,3.11665e+06
0.1,RANK,1458,16544433,15257532,1286901,0.0412912,3.11665e+06
0.1,RANK,1458,16544433,15257532,1286901,0.0412912,3.11665e+06
0.1,RANK,1458,16544433,15257532,1286901,0.0412912,3.11665e+06
0.1,RANK,1458,16544433,15257532,1286901,0.0412912,3.11665e+06
0.1,RANK,1458,16544433,15257532,1286901,0.0412912,3.11665e+06
0.1,RANK,1458,16544433,15257532,1286901,0.0412912,3.11665e+06
0.1,RANK,1458,16544433,15257532,1286901,0.0412912,3.11665e+06
0.1,RANK,1464,21602565,20358597,1243968,0.0399136,3.11665e+06
0.1,RANK,1474,22163919,20882609,1281310,0.0411118,3.11665e+06
0.1,RANK,1484,23006115,21694575,1311540,0.0420817,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,RANK,1504,23567937,22382640,1185297,0.0380311,3.11665e+06
0.1,QUANTILE,0.05,46,52,6,NA,NA
0.1,QUANTILE,0.1,56,56,0,NA,NA
0.1,QUANTILE,0.15,56,64,8,NA,NA
0.1,QUANTILE,0.2,68,110,42,NA,NA
0.1,QUANTILE,0.25,124,204,80,NA,NA
0.1,QUANTILE,0.3,204,241,37,NA,NA
0.1,QUANTILE,0.35,276,1000,724,NA,NA
0.1,QUANTILE,0.4,1094,1404,310,NA,NA
0.1,QUANTILE,0.45,1416,1442,26,NA,NA
0.1,QUANTILE,0.5,1444,1458,14,NA,NA
0.1,QUANTILE,0.55,1458,1458,0,NA,NA
0.1,QUANTILE,0.6,1458,1458,0,NA,NA
0.1,QUANTILE,0.65,1458,1458,0,NA,NA
0.1,QUANTILE,0.7,1464,1484,20,NA,NA
0.1,QUANTILE,0.75,1496,1504,8,NA,NA
0.1,QUANTILE,0.8,1504,1504,0,NA,NA
0.1,QUANTILE,0.85,1504,1504,0,NA,NA
0.1,QUANTILE,0.9,1504,1504,0,NA,NA
0.1,QUANTILE,0.95,1504,1504,0,NA,NA
0.05,RANK,46,0,0,0,0,1.55832e+06
0.05,RANK,46,0,0,0,0,1.55832e+06
0.05,RANK,48,1772013,1234059,537954,0.0172607,1.55832e+06
0.05,RANK,56,2214958,1676313,538645,0.0172828,1.55832e+06
0.05,RANK,56,2214958,1676313,538645,0.0172828,1.55832e+06
0.05,RANK,56,2214958,1676313,538645,0.0172828,1.55832e+06
0.05,RANK,56,2214958,1676313,538645,0.0172828,1.55832e+06
0.05,RANK,64,4856666,4242349,614317,0.0197108,1.55832e+06
0.05,RANK,64,4856666,4242349,614317,0.0197108,1.55832e+06
0.05,RANK,84,6186334,5591739,594595,0.019078,1.55832e+06
0.05,RANK,110,6777305,6227594,549711,0.0176379,1.55832e+06
0.05,RANK,141,7515653,6854651,661002,0.0212087,1.55832e+06
0.05,RANK,204,7958842,7365554,593288,0.0190361,1.55832e+06
0.05,RANK,204,7958842,7365554,593288,0.0190361,1.55832e+06
0.05,RANK,204,7958842,7365554,593288,0.0190361,1.55832e+06
0.05,RANK,241,10026584,9348818,677766,0.0217466,1.55832e+06
0.05,RANK,436,10617482,9972157,645325,0.0207057,1.55832e+06
0.05,RANK,749,11208288,10596073,612215,0.0196434,1.55832e+06
0.05,RANK,1103,11815550,11219793,595757,0.0191153,1.55832e+06
0.05,RANK,1348,12406510,11837899,568611,0.0182443,1.55832e+06
0.05,RANK,1404,12833018,12201421,631597,0.0202653,1.55832e+06
0.05,RANK,1424,13440516,12821860,618656,0.01985,1.55832e+06
0.05,RANK,1432,14293484,13672084,621400,0.0199381,1.55832e+06
0.05,RANK,1444,14753164,14213899,539265,0.0173027,1.55832e+06
0.05,RANK,1455,15638996,14941519,697477,0.0223791,1.55832e+06
0.05,RANK,1458,15917854,15257532,660322,0.0211869,1.55832e+06
0.05,RANK,1458,15917854,15257532,660322,0.0211869,1.55832e+06
0.05,RANK,1458,15917854,15257532,660322,0.0211869,1.55832e+06
0.05,RANK,1458,15917854,15257532,660322,0.0211869,1.55832e+06
0.05,RANK,1458,15917854,15257532,660322,0.0211869,1.55832e+06
0.05,RANK,1458,15917854,15257532,660322,0.0211869,1.55832e+06
0.05,RANK,1458,15917854,15257532,660322,0.0211869,1.55832e+06
0.05,RANK,1458,15917854,15257532,660322,0.0211869,1.55832e+06
0.05,RANK,1464,20973535,20358597,614938,0.0197307,1.55832e+06
0.05,RANK,1474,21547591,20882609,664982,0.0213364,1.55832e+06
0.05,RANK,1484,22302381,21694575,607806,0.0195019,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,RANK,1504,23041044,22382640,658404,0.0211254,1.55832e+06
0.05,QUANTILE,0.05,46,52,6,NA,NA
0.05,QUANTILE,0.1,56,56,0,NA,NA
0.05,QUANTILE,0.15,56,64,8,NA,NA
0.05,QUANTILE,0.2,84,110,26,NA,NA
0.05,QUANTILE,0.25,169,204,35,NA,NA
0.05,QUANTILE,0.3,204,241,37,NA,NA
0.05,QUANTILE,0.35,549,1000,451,NA,NA
0.05,QUANTILE,0.4,1361,1404,43,NA,NA
0.05,QUANTILE,0.45,1424,1442,18,NA,NA
0.05,QUANTILE,0.5,1454,1458,4,NA,NA
0.05,QUANTILE,0.55,1458,1458,0,NA,NA
0.05,QUANTILE,0.6,1458,1458,0,NA,NA
0.05,QUANTILE,0.65,1458,1458,0,NA,NA
0.05,QUANTILE,0.7,1474,1484,10,NA,NA
0.05,QUANTILE,0.75,1504,1504,0,NA,NA
0.05,QUANTILE,0.8,1504,1504,0,NA,NA
0.05,QUANTILE,0.85,1504,1504,0,NA,NA
0.05,QUANTILE,0.9,1504,1504,0,NA,NA
0.05,QUANTILE,0.95,1504,1504,0,NA,NA
