Epsilon,TipoConsulta,ValorConsulta,ValorEstimado,ValorReal,ErrorAbsoluto,ErrorRelativo,ErrorMaxPermitido
0.1,RANK,214551,0,0,0,0,500000
0.1,RANK,1170726,207705,100000,107705,0.021541,500000
0.1,RANK,1362126,312123,200000,112123,0.0224246,500000
0.1,RANK,1502511,415781,300000,115781,0.0231562,500000
0.1,RANK,1619340,520444,400000,120444,0.0240888,500000
0.1,RANK,1723093,624101,500000,124101,0.0248202,500000
0.1,RANK,1817694,728266,599998,128268,0.0256536,500000
0.1,RANK,1905381,832435,700000,132435,0.026487,500000
0.1,RANK,1988920,936618,800000,136618,0.0273236,500000
0.1,RANK,2069039,1040782,899999,140783,0.0281566,500000
0.1,RANK,2146653,1144933,1000000,144933,0.0289866,500000
0.1,RANK,2222370,1249100,1100000,149100,0.02982,500000
0.1,RANK,2296886,1353249,1200000,153249,0.0306498,500000
0.1,RANK,2370437,1457411,1300000,157411,0.0314822,500000
0.1,RANK,2442863,1559466,1400000,159466,0.0318932,500000
0.1,RANK,2515032,1663698,1500000,163698,0.0327396,500000
0.1,RANK,2586958,1751414,1599999,151415,0.030283,500000
0.1,RANK,2659533,1822824,1700000,122824,0.0245648,500000
0.1,RANK,2732017,1958939,1800000,158939,0.0317878,500000
0.1,RANK,2805707,2030864,1899999,130865,0.026173,500000
0.1,RANK,2879345,2135033,2000000,135033,0.0270066,500000
0.1,RANK,2954121,2239185,2100000,139185,0.027837,500000
0.1,RANK,3030496,2342855,2200000,142855,0.028571,500000
0.1,RANK,3108132,2447029,2299999,147030,0.029406,500000
0.1,RANK,3187136,2549133,2399995,149138,0.0298276,500000
0.1,RANK,3267905,2653234,2499999,153235,0.030647,500000
0.1,RANK,3351049,2757463,2599999,157464,0.0314928,500000
0.1,RANK,3436094,2844920,2700000,144920,0.028984,500000
0.1,RANK,3524136,2949147,2799999,149148,0.0298296,500000
0.1,RANK,3615346,3053544,2900000,153544,0.0307088,500000
0.1,RANK,3710046,3157488,3000000,157488,0.0314976,500000
0.1,RANK,3807958,3228850,3100000,128850,0.02577,500000
0.1,RANK,3910175,3333001,3200000,133001,0.0266002,500000
0.1,RANK,4017661,3436596,3300000,136596,0.0273192,500000
0.1,RANK,4130518,3540766,3400000,140766,0.0281532,500000
0.1,RANK,4249016,3644934,3500000,144934,0.0289868,500000
0.1,RANK,4374321,3748733,3600000,148733,0.0297466,500000
0.1,RANK,4508873,3851154,3700000,151154,0.0302308,500000
0.1,RANK,4652693,3955324,3800000,155324,0.0310648,500000
0.1,RANK,4809008,4044867,3899998,144869,0.0289738,500000
0.1,RANK,4978696,4162892,4000000,162892,0.0325784,500000
0.1,RANK,5165753,4218386,4100000,118386,0.0236772,500000
0.1,RANK,5375507,4355302,4199998,155304,0.0310608,500000
0.1,RANK,5610960,4426701,4299999,126702,0.0253404,500000
0.1,RANK,5882824,4530354,4400000,130354,0.0260708,500000
0.1,RANK,6204900,4634550,4500000,134550,0.02691,500000
0.1,RANK,6599196,4738637,4599999,138638,0.0277276,500000
0.1,RANK,7113367,4841302,4700000,141302,0.0282604,500000
0.1,RANK,7846693,4912218,4800000,112218,0.0224436,500000
0.1,RANK,9127987,4999949,4900000,99949,0.0199898,500000
0.1,QUANTILE,0.05,1229793,1436712,206919,NA,NA
0.1,QUANTILE,0.1,1582541,1723093,140552,NA,NA
0.1,QUANTILE,0.15,1838746,1947811,109065,NA,NA
0.1,QUANTILE,0.2,2051304,2146653,95349,NA,NA
0.1,QUANTILE,0.25,2250995,2334020,83025,NA,NA
0.1,QUANTILE,0.3,2412748,2515032,102284,NA,NA
0.1,QUANTILE,0.35,2585101,2695750,110649,NA,NA
0.1,QUANTILE,0.4,2769373,2879344,109971,NA,NA
0.1,QUANTILE,0.45,2959339,3069264,109925,NA,NA
0.1,QUANTILE,0.5,3165415,3267905,102490,NA,NA
0.1,QUANTILE,0.55,3350744,3479676,128932,NA,NA
0.1,QUANTILE,0.6,3566313,3710046,143733,NA,NA
0.1,QUANTILE,0.65,3816799,3963236,146437,NA,NA
0.1,QUANTILE,0.7,4094322,4249016,154694,NA,NA
