Epsilon,TipoConsulta,ValorConsulta,ValorEstimado,ValorReal,ErrorAbsoluto,ErrorRelativo,ErrorMaxPermitido
0.1,RANK,1,0,0,0,0,500000
0.1,RANK,20095,208025,99997,108028,0.0216056,500000
0.1,RANK,39991,312206,199994,112212,0.0224424,500000
0.1,RANK,60046,416357,299994,116363,0.0232726,500000
0.1,RANK,80104,520522,399996,120526,0.0241052,500000
0.1,RANK,100036,624670,499997,124673,0.0249346,500000
0.1,RANK,120026,729078,599999,129079,0.0258158,500000
0.1,RANK,140113,832913,699995,132918,0.0265836,500000
0.1,RANK,160193,936569,799994,136575,0.027315,500000
0.1,RANK,180127,1041244,900000,141244,0.0282488,500000
0.1,RANK,199955,1144983,999995,144988,0.0289976,500000
0.1,RANK,220123,1249077,1099997,149080,0.029816,500000
0.1,RANK,240127,1353211,1200000,153211,0.0306422,500000
0.1,RANK,260140,1455363,1299999,155364,0.0310728,500000
0.1,RANK,280120,1561544,1399994,161550,0.03231,500000
0.1,RANK,300096,1665644,1500000,165644,0.0331288,500000
0.1,RANK,320070,1718662,1599999,118663,0.0237326,500000
0.1,RANK,340011,1824872,1700000,124872,0.0249744,500000
0.1,RANK,359991,1959774,1799993,159781,0.0319562,500000
0.1,RANK,380038,2031123,1899995,131128,0.0262256,500000
0.1,RANK,400065,2135292,1999996,135296,0.0270592,500000
0.1,RANK,420041,2238978,2099995,138983,0.0277966,500000
0.1,RANK,440016,2342890,2200000,142890,0.028578,500000
0.1,RANK,459957,2447043,2299999,147044,0.0294088,500000
0.1,RANK,479948,2551192,2399997,151195,0.030239,500000
0.1,RANK,499897,2655358,2499991,155367,0.0310734,500000
0.1,RANK,519901,2759506,2599997,159509,0.0319018,500000
0.1,RANK,539980,2863677,2700000,163677,0.0327354,500000
0.1,RANK,559929,2967845,2800000,167845,0.033569,500000
0.1,RANK,579909,3055607,2900000,155607,0.0311214,500000
0.1,RANK,600058,3157727,3000000,157727,0.0315454,500000
0.1,RANK,619931,3228610,3099999,128611,0.0257222,500000
0.1,RANK,639936,3332743,3199995,132748,0.0265496,500000
0.1,RANK,659921,3436908,3299997,136911,0.0273822,500000
0.1,RANK,679857,3541571,3399996,141575,0.028315,500000
0.1,RANK,699934,3644922,3499997,144925,0.028985,500000
0.1,RANK,719910,3749057,3599999,149058,0.0298116,500000
0.1,RANK,739946,3853177,3699995,153182,0.0306364,500000
0.1,RANK,759895,3957390,3799996,157394,0.0314788,500000
0.1,RANK,779832,4061555,3899997,161558,0.0323116,500000
0.1,RANK,799788,4163353,3999999,163354,0.0326708,500000
0.1,RANK,819885,4218349,4099996,118353,0.0236706,500000
0.1,RANK,840016,4322512,4200000,122512,0.0245024,500000
0.1,RANK,860005,4426197,4299998,126199,0.0252398,500000
0.1,RANK,880054,4530328,4400000,130328,0.0260656,500000
0.1,RANK,900039,4634753,4499996,134757,0.0269514,500000
0.1,RANK,919977,4736617,4599999,136618,0.0273236,500000
0.1,RANK,939885,4841022,4699998,141024,0.0282048,500000
0.1,RANK,959993,4895730,4799998,95732,0.0191464,500000
0.1,RANK,980083,4999947,4899999,99948,0.0199896,500000
0.1,QUANTILE,0.05,24502,50055,25553,NA,NA
0.1,QUANTILE,0.1,71146,100036,28890,NA,NA
